model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 1 Series,2018,15300,Manual,36469,Diesel,150,50.4,1.5
 5 Series,2014,15495,Semi-Auto,51565,Diesel,160,51.4,2.0
 X3,2019,39875,Semi-Auto,8988,Diesel,150,36.7,3.0
 2 Series,2019,21730,Automatic,5054,Petrol,145,39.2,1.5
 2 Series,2018,13799,Manual,13369,Diesel,145,65.7,1.5
 X5,2016,24499,Automatic,57146,Diesel,160,50.4,2.0
 M3,2018,42202,Semi-Auto,10222,Petrol,145,34.0,3.0
 5 Series,2019,32400,Semi-Auto,7111,Diesel,145,55.4,2.0
 3 Series,2019,28990,Semi-Auto,7322,Diesel,145,52.3,2.0
 4 Series,2016,15790,Semi-Auto,73921,Diesel,160,51.4,3.0
 5 Series,2010,9249,Automatic,94938,Diesel,240,43.5,3.0
 4 Series,2016,15499,Manual,55802,Diesel,30,62.8,2.0
 1 Series,2017,20500,Automatic,24029,Petrol,145,39.8,3.0
 1 Series,2019,31790,Semi-Auto,8211,Petrol,145,34.5,2.0
 6 Series,2018,28990,Semi-Auto,10250,Diesel,145,49.6,3.0
 1 Series,2018,12299,Manual,38164,Diesel,145,78.5,1.5
 2 Series,2017,14000,Manual,33859,Diesel,30,64.2,2.0
 i3,2017,19495,Automatic,17338,Hybrid,135,470.8,0.0
 2 Series,2016,14999,Manual,21985,Petrol,160,44.1,2.0
 X3,2017,16950,Automatic,51206,Diesel,145,54.3,2.0
 5 Series,2016,16495,Semi-Auto,40008,Diesel,30,62.8,2.0
 X1,2019,24800,Automatic,10577,Diesel,145,60.1,2.0
 3 Series,2015,14000,Automatic,75800,Diesel,145,55.4,2.0
 4 Series,2019,34995,Automatic,10,Petrol,145,45.6,2.0
 X3,2019,29980,Semi-Auto,6231,Diesel,145,54.3,2.0
 X2,2018,22111,Semi-Auto,16708,Petrol,150,38.7,2.0
 1 Series,2019,15989,Automatic,12192,Petrol,145,55.5,1.5
 X5,2016,28140,Automatic,43003,Diesel,200,47.1,3.0
 X2,2019,27669,Semi-Auto,13440,Diesel,145,58.9,2.0
 2 Series,2019,23490,Automatic,7561,Petrol,145,47.9,2.0
 X1,2017,20875,Semi-Auto,9637,Diesel,145,55.4,2.0
 X5,2016,31990,Automatic,47814,Diesel,240,42.8,3.0
 M4,2016,30485,Semi-Auto,32866,Petrol,300,34.0,3.0
 5 Series,2019,36500,Semi-Auto,1475,Petrol,150,39.2,3.0
 5 Series,2019,30895,Semi-Auto,10707,Hybrid,135,156.9,2.0
 4 Series,2015,16514,Semi-Auto,33802,Diesel,30,65.7,2.0
 2 Series,2015,16950,Automatic,22876,Petrol,160,44.1,2.0
 X1,2013,10295,Semi-Auto,63993,Diesel,160,52.3,2.0
 X3,2015,17000,Semi-Auto,35500,Diesel,200,47.9,3.0
 2 Series,2016,14995,Semi-Auto,56010,Diesel,125,57.6,2.0
 3 Series,2017,17998,Semi-Auto,24253,Diesel,150,64.2,2.0
 1 Series,2016,16280,Semi-Auto,5796,Petrol,125,54.3,1.5
 X5,2014,27995,Automatic,43946,Diesel,265,42.2,3.0
 1 Series,2017,13798,Manual,34446,Diesel,145,65.7,2.0
 X2,2019,44980,Semi-Auto,500,Diesel,145,58.9,2.0
 3 Series,2017,18858,Semi-Auto,29190,Diesel,145,62.8,2.0
 1 Series,2019,19475,Manual,4168,Petrol,145,52.3,1.5
 M4,2019,40980,Semi-Auto,4786,Petrol,145,34.0,3.0
 3 Series,2016,16300,Automatic,34623,Diesel,125,57.6,2.0
 7 Series,2017,31250,Automatic,27791,Diesel,145,53.3,3.0
 X2,2019,28955,Semi-Auto,5313,Diesel,145,48.7,2.0
 X2,2019,35999,Automatic,6026,Petrol,145,34.0,2.0
 2 Series,2017,15750,Automatic,23200,Diesel,145,68.9,2.0
 2 Series,2019,21990,Automatic,8351,Hybrid,135,148.7,1.5
 X5,2015,22950,Automatic,80000,Diesel,200,47.1,3.0
 1 Series,2013,7699,Manual,51988,Diesel,0,74.3,1.6
 1 Series,2018,18450,Semi-Auto,14324,Diesel,150,49.6,2.0
 3 Series,2015,15998,Semi-Auto,47812,Diesel,160,51.4,3.0
 2 Series,2019,20638,Manual,123,Diesel,145,51.4,2.0
 5 Series,2016,12500,Automatic,57232,Diesel,20,68.9,2.0
 M4,2020,52988,Automatic,10,Petrol,150,34.0,3.0
 2 Series,2017,16191,Semi-Auto,23295,Diesel,20,68.9,2.0
 3 Series,2016,18888,Automatic,17749,Diesel,145,56.5,3.0
 X1,2019,26000,Semi-Auto,3085,Petrol,145,40.9,1.5
 4 Series,2020,27495,Semi-Auto,10,Petrol,145,48.7,2.0
 2 Series,2017,21499,Automatic,19502,Petrol,145,39.8,3.0
 4 Series,2018,22440,Semi-Auto,13673,Petrol,145,48.7,2.0
 4 Series,2019,30980,Automatic,500,Petrol,145,41.5,3.0
 5 Series,2018,23200,Automatic,11868,Diesel,145,68.9,2.0
 1 Series,2020,31990,Semi-Auto,3150,Petrol,150,34.5,2.0
 5 Series,2017,22971,Automatic,16151,Diesel,150,65.7,2.0
 3 Series,2017,21898,Semi-Auto,10305,Diesel,145,56.5,3.0
 2 Series,2019,23159,Automatic,123,Petrol,145,50.4,1.5
 3 Series,2017,16600,Automatic,50000,Other,0,134.5,2.0
 1 Series,2015,7948,Manual,74375,Diesel,30,65.7,2.0
